part_name,brand,model,year_start,year_end,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
trailing link rear -(left),toyota,corolla,2019,2027,69,26,"53848080, 53848801, 53848805, 53848806, 53869465, 53883746, 53883759, 55987887, 55987889, 55987891 ... (+16 more)",71.0,56.2,71.4,2.65
wheel bearing spindle shaft -(right rear),toyota,corolla,2019,2027,52,23,"53853364, 53855121, 53855165, 56933447, 57222704, 58825525, 59131976, 59241761, 60059059, 60139249 ... (+13 more)",189.75,165.8,208.3,2.26
trailing link rear -(right),toyota,corolla,2019,2027,62,22,"53848794, 53848803, 53848811, 53859508, 53860530, 53883758, 55987886, 55987888, 55987890, 55987892 ... (+12 more)",71.0,56.2,71.4,2.82
wheel bearing spindle shaft -(left rear),toyota,corolla,2019,2027,60,22,"53853342, 53869656, 56933448, 58825527, 59131977, 59242297, 60059060, 60139248, 60419506, 60496437 ... (+12 more)",177.9,165.8,208.3,2.73
brake caliper -(right rear),toyota,corolla,2019,2027,53,20,"53608052, 53850683, 53859861, 54238812, 56933443, 57220992, 58755576, 59131987, 59249691, 62404920 ... (+10 more)",177.9,168.7,238.0,2.65
brake caliper -(left rear),toyota,corolla,2019,2027,50,20,"53608961, 53859868, 53860486, 53867130, 54232531, 56933444, 57220993, 58755577, 59131988, 59249690 ... (+10 more)",177.7,165.8,238.0,2.5
suspension -(rear),toyota,corolla,2019,2027,59,17,"53577432, 53865601, 58825993, 58825994, 59230183, 59230184, 60129271, 60498741, 60498767, 61749419 ... (+7 more)",47.2,35.5,47.6,3.47
brake caliper -(right front),toyota,corolla,2019,2027,47,17,"53859828, 53860450, 53860490, 53895810, 53928356, 57220994, 58717890, 60058882, 61076237, 62404916 ... (+7 more)",177.6,142.1,238.0,2.76
brake caliper -(left front),toyota,corolla,2019,2027,44,16,"53606571, 53859829, 53928357, 56933442, 57220995, 60058883, 60496428, 63310200, 63350262, 64546414 ... (+6 more)",177.6,118.4,238.0,2.75
hybrid batteri -,toyota,corolla,2019,2027,40,15,"54137921, 57028353, 57887357, 58926177, 58991908, 59217624, 60117429, 60785799, 61156018, 62529942 ... (+5 more)",1300.1,1124.8,1462.2,2.67
hybrid inverter -,toyota,corolla,2019,2027,40,15,"54137927, 54232530, 54248125, 57231214, 58198976, 59274610, 60063118, 61074258, 61156102, 61905395 ... (+5 more)",1085.45,355.2,1190.0,2.67
other control unit -,toyota,corolla,2019,2027,40,15,"53608931, 53608953, 53861120, 54103835, 54137955, 59244561, 60119199, 60125605, 60500078, 63020235 ... (+5 more)",438.75,270.0,476.0,2.67
engine gasoline -,toyota,corolla,2019,2027,39,15,"53605194, 53848511, 56939596, 59078050, 59140483, 62989746, 63117883, 63305356, 63352462, 64538310 ... (+5 more)",3656.1,3433.6,3689.0,2.6
fuel filling pipe / tube -,toyota,corolla,1998,2001,38,15,"53821389, 53826004, 54517984, 54527967, 54527972, 54527974, 54555307, 54555440, 54560132, 54571032 ... (+5 more)",59.0,35.5,59.5,2.53
shock absorbers rear -(rear),toyota,corolla,2019,2027,23,14,"53853721, 53853777, 53859811, 53859812, 53881584, 54248598, 58825523, 58825992, 60410274, 61070966 ... (+4 more)",59.2,59.2,62.2,1.64
drive shaft -(left front),toyota,corolla,2019,2027,70,13,"59131986, 60059054, 60496432, 61770180, 63310210, 63350268, 64489889, 64546407, 65399928, 65680788 ... (+3 more)",294.9,235.9,297.5,5.38
kamera utvändig -,toyota,corolla,2019,2027,38,13,"53838464, 53858477, 53881624, 53928354, 54129716, 58761312, 58925051, 59862593, 60492667, 61918245 ... (+3 more)",653.45,296.0,714.0,2.92
abs hydraulic aggregate -,toyota,corolla,2019,2027,36,13,"57231205, 59140465, 60058714, 60496419, 61076241, 62404925, 63026248, 63310160, 63350249, 65250408 ... (+3 more)",590.95,532.8,595.0,2.77
automatic gear -,toyota,corolla,2019,2027,36,13,"54137995, 57035004, 59078044, 59131981, 59269879, 61063287, 62117685, 62404956, 63117910, 63127471 ... (+3 more)",2960.0,2604.8,3054.5,2.77
gear lever -,toyota,corolla,2019,2027,27,13,"53606551, 53886312, 54145488, 58718927, 60061114, 60467442, 61092453, 62404893, 63017018, 63125341 ... (+3 more)",177.6,171.7,189.4,2.08
distributors vacuum regulator -,toyota,corolla,1993,1997,32,12,"54570238, 54570295, 54570367, 54570499, 54572869, 54573661, 54573914, 54575400, 54577513, 54583204 ... (+2 more)",100.6,100.2,101.1,2.67
rear axle beam -,toyota,corolla,2019,2027,32,12,"53840672, 53855171, 54137289, 59622865, 63305368, 63350257, 64522689, 64546427, 65250409, 65399914 ... (+2 more)",413.65,260.5,416.5,2.67
insp.pump diesel control unit -,toyota,corolla,2002,2007,27,12,"53461881, 53650419, 53832045, 54071642, 54531250, 54531561, 54532022, 54532302, 56093599, 61038379 ... (+2 more)",213.1,118.4,238.0,2.25
